月份,城市,渠道,性别,年龄段,线索数,下订数,有效跟进线索数,跟进次数合计
2025-07,上海,官网,男,50+,11,4,11,24
2025-07,上海,懂车帝,男,50+,14,3,14,35
2025-07,上海,抖音,男,50+,19,8,19,44
2025-07,北京,官网,男,50+,18,10,17,34
2025-07,北京,懂车帝,女,50+,15,5,14,32
2025-07,北京,懂车帝,男,40-49,11,4,10,26
2025-07,北京,懂车帝,男,50+,17,6,17,44
2025-07,北京,抖音,女,50+,11,3,11,23
2025-07,北京,抖音,男,50+,13,5,13,28
2025-07,北京,朋友推荐,男,50+,13,6,12,23
2025-07,南京,官网,男,50+,13,2,13,26
2025-07,南京,懂车帝,女,50+,10,2,10,23
2025-07,南京,懂车帝,男,50+,18,5,18,33
2025-07,南京,朋友推荐,男,50+,14,5,13,34
2025-07,广州,懂车帝,女,50+,11,4,11,23
2025-07,广州,懂车帝,男,50+,20,8,20,46
2025-07,广州,抖音,男,50+,12,2,12,23
2025-07,广州,朋友推荐,女,50+,11,3,11,29
2025-07,成都,官网,男,18-24,11,1,11,26
2025-07,成都,官网,男,50+,15,5,15,36
2025-07,成都,懂车帝,女,50+,14,4,14,28
2025-07,成都,懂车帝,男,50+,14,3,14,34
2025-07,成都,抖音,男,50+,11,5,10,24
2025-07,杭州,官网,女,50+,11,2,11,25
2025-07,杭州,官网,男,50+,13,4,13,28
2025-07,杭州,懂车帝,男,40-49,10,5,10,25
2025-07,杭州,懂车帝,男,50+,21,9,21,43
2025-07,杭州,抖音,男,50+,18,4,17,41
2025-07,武汉,官网,男,50+,12,2,12,23
2025-07,武汉,懂车帝,男,50+,11,4,11,23
2025-07,武汉,抖音,男,40-49,10,1,10,26
2025-07,深圳,官网,男,50+,16,6,15,36
2025-07,深圳,懂车帝,女,50+,11,5,11,20
2025-07,深圳,懂车帝,男,50+,13,4,12,27
2025-07,深圳,抖音,女,50+,13,7,12,22
2025-07,深圳,抖音,男,50+,17,6,17,37
2025-07,西安,官网,男,50+,20,8,20,51
2025-07,西安,懂车帝,男,40-49,10,3,10,24
2025-07,西安,懂车帝,男,50+,27,8,26,62
2025-07,西安,抖音,男,50+,10,2,10,24
2025-07,重庆,官网,女,50+,10,1,10,21
2025-07,重庆,官网,男,50+,12,3,11,25
2025-07,重庆,懂车帝,女,50+,13,4,13,19
2025-07,重庆,懂车帝,男,50+,21,8,21,48
2025-07,重庆,抖音,女,50+,12,2,11,19
2025-07,重庆,抖音,男,50+,13,3,13,29
2025-07,重庆,朋友推荐,男,50+,12,4,11,19
2025-08,上海,官网,男,50+,11,2,10,18
2025-08,上海,懂车帝,女,50+,14,7,14,29
2025-08,上海,懂车帝,男,50+,11,4,11,28
2025-08,上海,抖音,男,50+,11,6,11,25
2025-08,北京,官网,男,50+,12,4,12,24
2025-08,北京,抖音,女,50+,10,4,10,26
2025-08,北京,抖音,男,50+,11,3,11,26
2025-08,北京,朋友推荐,男,50+,12,4,12,30
2025-08,北京,门店,男,50+,11,4,11,24
2025-08,南京,官网,女,50+,11,6,11,19
2025-08,南京,官网,男,40-49,10,4,10,20
2025-08,南京,官网,男,50+,13,1,13,31
2025-08,南京,懂车帝,男,50+,13,5,13,31
2025-08,南京,抖音,男,50+,21,7,21,43
2025-08,南京,朋友推荐,男,50+,11,3,11,18
2025-08,广州,懂车帝,男,50+,17,6,17,43
2025-08,广州,抖音,男,50+,15,3,15,32
2025-08,成都,懂车帝,女,50+,12,2,12,29
2025-08,成都,懂车帝,男,50+,16,3,16,37
2025-08,成都,抖音,男,50+,10,3,10,26
2025-08,杭州,官网,男,50+,11,5,11,27
2025-08,杭州,懂车帝,男,30-34,10,5,10,24
2025-08,杭州,懂车帝,男,50+,15,3,15,29
2025-08,杭州,抖音,女,50+,10,4,10,22
2025-08,杭州,抖音,男,50+,13,4,13,33
2025-08,武汉,官网,男,50+,15,4,15,31
2025-08,武汉,懂车帝,男,50+,13,5,13,28
2025-08,武汉,抖音,女,50+,12,5,12,31
2025-08,武汉,抖音,男,50+,14,9,14,31
2025-08,武汉,朋友推荐,男,50+,11,2,11,26
2025-08,深圳,官网,女,50+,11,0,11,25
2025-08,深圳,懂车帝,女,50+,17,6,17,41
2025-08,深圳,懂车帝,男,50+,15,3,15,34
2025-08,深圳,抖音,男,50+,13,3,13,34
2025-08,西安,官网,女,50+,10,3,10,24
2025-08,西安,官网,男,50+,12,5,12,26
2025-08,西安,懂车帝,男,50+,19,7,19,46
2025-08,西安,抖音,男,50+,10,1,10,23
2025-08,西安,朋友推荐,男,50+,14,6,14,32
2025-08,重庆,官网,男,50+,13,1,13,33
2025-08,重庆,懂车帝,女,50+,10,2,10,29
2025-08,重庆,懂车帝,男,50+,11,6,11,21
2025-08,重庆,抖音,男,50+,13,6,13,27
2025-08,重庆,朋友推荐,男,50+,11,5,11,26
2025-09,上海,懂车帝,男,50+,11,6,11,23
2025-09,上海,抖音,男,50+,12,5,12,31
2025-09,北京,官网,女,50+,10,1,10,24
2025-09,北京,官网,男,50+,11,3,11,25
2025-09,北京,懂车帝,男,50+,13,2,13,27
2025-09,北京,抖音,男,50+,16,5,16,35
2025-09,南京,官网,男,40-49,11,4,11,29
2025-09,南京,官网,男,50+,18,8,18,41
2025-09,南京,懂车帝,男,50+,12,8,12,29
2025-09,南京,抖音,女,50+,10,5,10,17
2025-09,南京,抖音,男,50+,11,2,11,23
2025-09,南京,朋友推荐,男,50+,11,5,11,26
2025-09,南京,车展,男,50+,11,3,11,28
2025-09,广州,官网,女,50+,11,1,11,23
2025-09,广州,官网,男,50+,15,4,15,39
2025-09,广州,懂车帝,女,50+,11,4,11,25
2025-09,广州,懂车帝,男,50+,11,3,11,28
2025-09,广州,抖音,男,40-49,11,3,11,28
2025-09,广州,抖音,男,50+,12,3,12,27
2025-09,成都,官网,女,50+,10,1,10,20
2025-09,成都,懂车帝,男,50+,15,6,15,38
2025-09,成都,抖音,男,50+,17,6,17,43
2025-09,杭州,懂车帝,女,50+,13,2,13,28
2025-09,杭州,懂车帝,男,50+,10,2,10,26
2025-09,杭州,抖音,男,40-49,10,4,10,19
2025-09,杭州,抖音,男,50+,10,3,10,23
2025-09,杭州,朋友推荐,男,50+,13,3,13,31
2025-09,武汉,官网,男,50+,11,5,11,27
2025-09,武汉,懂车帝,男,50+,11,4,11,23
2025-09,武汉,抖音,男,50+,14,4,14,32
2025-09,武汉,朋友推荐,男,50+,10,4,10,21
2025-09,武汉,车展,男,50+,14,4,14,28
2025-09,深圳,官网,男,50+,13,4,13,27
2025-09,深圳,懂车帝,男,50+,16,5,16,42
2025-09,深圳,抖音,男,50+,10,3,10,23
2025-09,深圳,朋友推荐,女,50+,10,3,10,20
2025-09,西安,官网,男,50+,10,1,10,25
2025-09,西安,懂车帝,男,50+,11,3,11,22
2025-09,重庆,懂车帝,女,50+,13,2,13,36
2025-09,重庆,懂车帝,男,50+,12,3,12,27
2025-09,重庆,抖音,男,50+,11,2,11,24
2025-10,上海,官网,男,50+,12,5,12,34
2025-10,上海,懂车帝,女,50+,11,2,11,29
2025-10,上海,懂车帝,男,25-29,10,4,10,22
2025-10,上海,懂车帝,男,50+,18,3,18,42
2025-10,上海,抖音,男,50+,14,3,14,33
2025-10,上海,朋友推荐,男,50+,15,8,15,36
2025-10,上海,门店,男,40-49,11,6,11,24
2025-10,北京,官网,女,50+,11,4,11,25
2025-10,北京,懂车帝,女,40-49,10,4,10,20
2025-10,北京,懂车帝,女,50+,15,3,15,38
2025-10,北京,懂车帝,男,50+,16,6,16,34
2025-10,北京,抖音,男,50+,14,3,14,34
2025-10,南京,懂车帝,男,50+,16,5,16,36
2025-10,南京,抖音,男,50+,15,5,15,35
2025-10,南京,车展,男,50+,10,4,10,25
2025-10,广州,懂车帝,男,50+,15,2,15,39
2025-10,广州,抖音,女,50+,11,3,11,28
2025-10,广州,朋友推荐,男,50+,10,4,10,21
2025-10,成都,官网,男,35-39,10,3,10,25
2025-10,成都,懂车帝,女,50+,12,6,12,25
2025-10,成都,懂车帝,男,50+,19,5,19,46
2025-10,成都,抖音,女,50+,15,2,15,29
2025-10,成都,抖音,男,50+,12,4,12,28
2025-10,成都,朋友推荐,男,50+,14,6,14,27
2025-10,杭州,官网,男,50+,11,1,11,25
2025-10,杭州,懂车帝,女,50+,12,2,12,28
2025-10,杭州,懂车帝,男,50+,12,5,12,34
2025-10,杭州,朋友推荐,男,50+,19,6,19,42
2025-10,武汉,官网,女,50+,15,3,15,45
2025-10,武汉,官网,男,50+,10,3,10,28
2025-10,武汉,懂车帝,男,50+,20,8,20,48
2025-10,武汉,抖音,女,50+,11,4,11,20
2025-10,武汉,车展,男,50+,14,6,14,27
2025-10,深圳,官网,男,50+,10,3,10,25
2025-10,深圳,懂车帝,男,50+,16,7,16,41
2025-10,西安,懂车帝,男,50+,16,6,16,41
2025-10,西安,抖音,女,50+,10,2,10,21
2025-10,重庆,懂车帝,男,50+,12,3,12,30
2025-10,重庆,抖音,男,50+,13,4,13,31
2025-11,上海,官网,男,50+,16,7,16,37
2025-11,上海,懂车帝,女,50+,15,7,15,32
2025-11,上海,懂车帝,男,50+,11,4,11,25
2025-11,北京,官网,女,50+,11,4,11,27
2025-11,北京,官网,男,18-24,10,4,10,24
2025-11,北京,官网,男,50+,15,5,15,29
2025-11,北京,懂车帝,男,50+,10,4,10,23
2025-11,北京,抖音,男,50+,10,6,10,22
2025-11,南京,抖音,女,50+,10,4,10,23
2025-11,广州,懂车帝,女,50+,13,3,13,30
2025-11,广州,懂车帝,男,50+,15,6,15,33
2025-11,广州,抖音,男,50+,17,7,17,41
2025-11,成都,官网,女,50+,11,3,11,26
2025-11,成都,懂车帝,男,50+,20,7,20,41
2025-11,成都,抖音,女,50+,10,3,10,23
2025-11,成都,抖音,男,50+,11,4,11,26
2025-11,杭州,懂车帝,女,50+,11,3,11,28
2025-11,杭州,懂车帝,男,50+,11,4,11,28
2025-11,杭州,抖音,男,50+,11,4,11,29
2025-11,杭州,朋友推荐,男,50+,14,5,14,34
2025-11,武汉,官网,男,50+,11,4,11,26
2025-11,武汉,懂车帝,女,50+,11,3,11,28
2025-11,武汉,懂车帝,男,50+,16,4,16,33
2025-11,武汉,抖音,女,50+,10,1,10,22
2025-11,深圳,官网,女,50+,18,6,18,41
2025-11,深圳,懂车帝,男,50+,13,6,13,29
2025-11,深圳,抖音,男,18-24,10,4,10,24
2025-11,西安,官网,女,50+,11,2,11,27
2025-11,西安,官网,男,50+,14,4,14,28
2025-11,西安,懂车帝,男,50+,16,4,16,37
2025-11,西安,抖音,女,50+,15,2,15,32
2025-11,西安,抖音,男,50+,13,3,13,32
2025-11,西安,朋友推荐,男,50+,11,1,10,21
2025-11,重庆,官网,男,50+,12,4,12,27
2025-11,重庆,懂车帝,男,40-49,12,6,12,32
2025-11,重庆,懂车帝,男,50+,19,7,19,45
2025-11,重庆,抖音,女,50+,10,1,10,21
2025-11,重庆,抖音,男,50+,14,5,14,35
2025-11,重庆,朋友推荐,男,40-49,10,4,10,20
2025-12,上海,官网,男,40-49,12,2,11,20
2025-12,上海,官网,男,50+,10,2,8,16
2025-12,上海,懂车帝,女,50+,12,3,8,21
2025-12,上海,懂车帝,男,50+,14,6,12,23
2025-12,上海,车展,女,50+,10,4,9,15
2025-12,北京,官网,男,50+,14,5,11,24
2025-12,北京,懂车帝,男,50+,21,4,19,40
2025-12,北京,抖音,男,50+,11,4,10,20
2025-12,南京,官网,女,50+,10,1,10,22
2025-12,南京,官网,男,50+,14,5,12,30
2025-12,南京,懂车帝,女,50+,11,4,8,15
2025-12,南京,懂车帝,男,50+,17,6,13,24
2025-12,广州,懂车帝,女,50+,10,4,8,15
2025-12,广州,懂车帝,男,50+,19,5,17,34
2025-12,广州,抖音,男,50+,14,2,13,31
2025-12,广州,朋友推荐,男,50+,10,4,7,15
2025-12,成都,懂车帝,女,50+,11,5,11,19
2025-12,成都,懂车帝,男,50+,17,4,16,33
2025-12,成都,抖音,男,50+,13,5,10,21
2025-12,杭州,官网,男,50+,11,2,8,18
2025-12,杭州,懂车帝,男,50+,11,3,10,25
2025-12,杭州,抖音,男,50+,12,5,11,27
2025-12,武汉,官网,男,50+,12,2,12,25
2025-12,武汉,懂车帝,男,50+,16,6,13,29
2025-12,武汉,抖音,男,50+,13,4,12,24
2025-12,深圳,官网,男,50+,14,1,12,25
2025-12,深圳,懂车帝,男,50+,10,2,9,28
2025-12,深圳,抖音,男,50+,12,3,10,19
2025-12,深圳,车展,男,50+,11,2,9,21
2025-12,西安,官网,男,50+,17,5,17,31
2025-12,西安,懂车帝,女,50+,13,3,11,22
2025-12,西安,懂车帝,男,50+,14,5,12,18
2025-12,西安,抖音,男,50+,17,3,13,26
2025-12,西安,朋友推荐,男,50+,12,3,11,27
2025-12,重庆,官网,女,50+,10,2,10,18
2025-12,重庆,懂车帝,女,50+,15,2,13,27
2025-12,重庆,懂车帝,男,50+,11,3,8,15
2025-12,重庆,抖音,男,50+,12,3,11,16
